front,back,deck,tags,source_language,target_language
"der Kollege, -n",colleague,Goethe A1,goethe-a1;source-patsytau;NB: female,de,en
kommen,to come,Goethe A1,goethe-a1;source-patsytau;formal,de,en
können,to be able to,Goethe A1,goethe-a1;source-patsytau,de,en
das Konto,account,Goethe A1,goethe-a1;source-patsytau,de,en
der Kopf,head,Goethe A1,goethe-a1;source-patsytau,de,en
kosten,to cost,Goethe A1,goethe-a1;source-patsytau,de,en
krank,ill,Goethe A1,goethe-a1;source-patsytau,de,en
kriegen,to get,Goethe A1,goethe-a1;source-patsytau,de,en
die Küche,kitchen,Goethe A1,goethe-a1;source-patsytau,de,en
der Kuchen,cake,Goethe A1,goethe-a1;source-patsytau,de,en
der Kugelschreiber,ball-point pen,Goethe A1,goethe-a1;source-patsytau;informal,de,en
der Kühlschrank,fridge,Goethe A1,goethe-a1;source-patsytau,de,en
kulturell interessiert,interested in culture,Goethe A1,goethe-a1;source-patsytau,de,en
kulturell,cultural,Goethe A1,goethe-a1;source-patsytau,de,en
sich kümmern,to look after,Goethe A1,goethe-a1;source-patsytau,de,en
"der Kunde, -n",customer,Goethe A1,goethe-a1;source-patsytau;NB: female,de,en
"der Kurs, -e",course,Goethe A1,goethe-a1;source-patsytau,de,en
kurz,short,Goethe A1,goethe-a1;source-patsytau,de,en
lachen,to laugh,Goethe A1,goethe-a1;source-patsytau,de,en
"der Laden, -ä",shop,Goethe A1,goethe-a1;source-patsytau;formal,de,en
"das Land, -ä, er",country,Goethe A1,goethe-a1;source-patsytau,de,en
lang,long,Goethe A1,goethe-a1;source-patsytau,de,en
lange,long,Goethe A1,goethe-a1;source-patsytau,de,en
langsam,slow,Goethe A1,goethe-a1;source-patsytau;formal,de,en
laufen,to walk/run,Goethe A1,goethe-a1;source-patsytau,de,en
laut,loud,Goethe A1,goethe-a1;source-patsytau,de,en
leben,to live,Goethe A1,goethe-a1;source-patsytau,de,en
das Leben,life,Goethe A1,goethe-a1;source-patsytau,de,en
die Lebensmittel (pl.),food,Goethe A1,goethe-a1;source-patsytau;formal,de,en
ledig,single,Goethe A1,"goethe-a1;source-patsytau;NB: marital status, not relationship status, formal",de,en
legen,to put,Goethe A1,goethe-a1;source-patsytau;formal,de,en
"der Lehrer, –",teacher,Goethe A1,goethe-a1;source-patsytau,de,en
leicht,light (weight),Goethe A1,goethe-a1;source-patsytau,de,en
leicht,easy,Goethe A1,goethe-a1;source-patsytau,de,en
leider,unfortunately,Goethe A1,goethe-a1;source-patsytau,de,en
leise,quiet,Goethe A1,goethe-a1;source-patsytau,de,en
lernen,to learn,Goethe A1,goethe-a1;source-patsytau;formal,de,en
lesen,to read,Goethe A1,goethe-a1;source-patsytau,de,en
letzt-,last,Goethe A1,goethe-a1;source-patsytau,de,en
die Leute (pl.),people,Goethe A1,goethe-a1;source-patsytau,de,en
das Licht,light,Goethe A1,goethe-a1;source-patsytau,de,en
lieb-,dear,Goethe A1,goethe-a1;source-patsytau,de,en
lieben,to love,Goethe A1,goethe-a1;source-patsytau;informal,de,en
lieber,to prefer,Goethe A1,goethe-a1;source-patsytau;lieber + verb = to prefer doing something,de,en
Lieblings-,favourite,Goethe A1,goethe-a1;source-patsytau,de,en
"das Lied, -er",song,Goethe A1,goethe-a1;source-patsytau,de,en
liegen,to lie,Goethe A1,goethe-a1;source-patsytau,de,en
liegen,to lie / be located,Goethe A1,goethe-a1;source-patsytau;NB: not used for humans,de,en
links,left,Goethe A1,goethe-a1;source-patsytau;formal,de,en
"der Lkw, -s",HGV,Goethe A1,goethe-a1;source-patsytau,de,en
das Lokal,pub,Goethe A1,goethe-a1;source-patsytau,de,en
"die Lösung, -en",solution,Goethe A1,goethe-a1;source-patsytau,de,en
lustig,funny,Goethe A1,goethe-a1;source-patsytau,de,en
machen,to do,Goethe A1,goethe-a1;source-patsytau;informal,de,en
machen,to make,Goethe A1,goethe-a1;source-patsytau,de,en
machen,to come to,Goethe A1,goethe-a1;source-patsytau,de,en
machen,…,Goethe A1,goethe-a1;source-patsytau;set phrase,de,en
"das Mädchen, –",girl,Goethe A1,goethe-a1;source-patsytau,de,en
man,one / impersonal ‘you’,Goethe A1,goethe-a1;source-patsytau;NB: does not sound pretentious in German,de,en
"der Mann, -ä, er",man / husband,Goethe A1,goethe-a1;source-patsytau,de,en
männlich,male,Goethe A1,goethe-a1;source-patsytau;formal,de,en
"die Maschine, -n",machine,Goethe A1,goethe-a1;source-patsytau,de,en
das Meer,sea,Goethe A1,goethe-a1;source-patsytau,de,en
mehr,more,Goethe A1,goethe-a1;source-patsytau,de,en
mein,my,Goethe A1,goethe-a1;source-patsytau,de,en
meist-,most,Goethe A1,goethe-a1;source-patsytau,de,en
"der Mensch, -en",people,Goethe A1,goethe-a1;source-patsytau,de,en
mieten,to rent,Goethe A1,goethe-a1;source-patsytau,de,en
die Miete,rent,Goethe A1,goethe-a1;source-patsytau,de,en
die Milch,milk,Goethe A1,goethe-a1;source-patsytau,de,en
mit,with,Goethe A1,goethe-a1;source-patsytau;formal,de,en
mitbringen,to bring with one / to get (sth. for sb.),Goethe A1,goethe-a1;source-patsytau;informal,de,en
mitkommen,to come with,Goethe A1,goethe-a1;source-patsytau;informal,de,en
mitmachen,to join in,Goethe A1,goethe-a1;source-patsytau;NB: addressing a group informally,de,en
mitnehmen,to take with,Goethe A1,goethe-a1;source-patsytau,de,en
die Mitte,middle,Goethe A1,goethe-a1;source-patsytau,de,en
die Möbel (pl.),furniture,Goethe A1,goethe-a1;source-patsytau,de,en
möchten,would like to,Goethe A1,goethe-a1;source-patsytau;formal,de,en
mögen,to like,Goethe A1,goethe-a1;source-patsytau;informal,de,en
möglich,possible,Goethe A1,goethe-a1;source-patsytau,de,en
der Moment,moment,Goethe A1,goethe-a1;source-patsytau,de,en
morgen,tomorrow,Goethe A1,goethe-a1;source-patsytau,de,en
müde,tired,Goethe A1,goethe-a1;source-patsytau,de,en
der Mund,mouth,Goethe A1,goethe-a1;source-patsytau;formal,de,en
müssen,to have to,Goethe A1,goethe-a1;source-patsytau,de,en
"die Mutter, -ü",mother,Goethe A1,goethe-a1;source-patsytau,de,en
nach,to (somewhere),Goethe A1,goethe-a1;source-patsytau,de,en
nach,after / past (time),Goethe A1,goethe-a1;source-patsytau,de,en
nächst-,next,Goethe A1,goethe-a1;source-patsytau,de,en
"der Name, -n",name,Goethe A1,goethe-a1;source-patsytau,de,en
nehmen,to have (food/drink),Goethe A1,goethe-a1;source-patsytau,de,en
nehmen,to take,Goethe A1,goethe-a1;source-patsytau,de,en
nein,no,Goethe A1,goethe-a1;source-patsytau;informal,de,en
neu,new,Goethe A1,goethe-a1;source-patsytau;NB: male,de,en
nicht,not,Goethe A1,goethe-a1;source-patsytau,de,en
nicht,no,Goethe A1,goethe-a1;source-patsytau,de,en
nichts,…,Goethe A1,goethe-a1;source-patsytau;set phrase,de,en
nichts,nothing,Goethe A1,goethe-a1;source-patsytau,de,en
nie,never,Goethe A1,goethe-a1;source-patsytau,de,en
noch,still,Goethe A1,goethe-a1;source-patsytau,de,en
noch,another,Goethe A1,goethe-a1;source-patsytau,de,en
normal,normal,Goethe A1,goethe-a1;source-patsytau,de,en
"die Nummer, -n",number,Goethe A1,goethe-a1;source-patsytau;formal,de,en
nur,only,Goethe A1,goethe-a1;source-patsytau,de,en
oben,upstairs,Goethe A1,goethe-a1;source-patsytau,de,en
das Obst,fruit,Goethe A1,goethe-a1;source-patsytau,de,en
oder,or,Goethe A1,goethe-a1;source-patsytau;formal,de,en
öffnen,to open,Goethe A1,goethe-a1;source-patsytau,de,en
geöffnet,open,Goethe A1,goethe-a1;source-patsytau,de,en
oft,often,Goethe A1,goethe-a1;source-patsytau,de,en
ohne,without,Goethe A1,goethe-a1;source-patsytau,de,en
das Öl,oil,Goethe A1,goethe-a1;source-patsytau,de,en
"die Oma, -s",grandmother,Goethe A1,goethe-a1;source-patsytau,de,en
"der Opa, -s",grandfather,Goethe A1,goethe-a1;source-patsytau,de,en
die Ordnung,…,Goethe A1,goethe-a1;source-patsytau,de,en
"der Ort, -e",location / place,Goethe A1,goethe-a1;source-patsytau,de,en
das Papier,paper,Goethe A1,goethe-a1;source-patsytau,de,en
die Papiere (pl.),papers,Goethe A1,goethe-a1;source-patsytau;formal,de,en
"der Partner, -",(male) partner,Goethe A1,goethe-a1;source-patsytau,de,en
"die Partnerin, -nen",(female) partner,Goethe A1,goethe-a1;source-patsytau,de,en
die Party,party,Goethe A1,goethe-a1;source-patsytau,de,en
"der Pass, -ä, e",passport,Goethe A1,goethe-a1;source-patsytau;informal,de,en
"die Pause, -n",break,Goethe A1,goethe-a1;source-patsytau,de,en
"der Plan, -ä, e",map / plan,Goethe A1,goethe-a1;source-patsytau,de,en
"der Platz, -ä, e",seat,Goethe A1,goethe-a1;source-patsytau,de,en
"der Platz, -ä, e",square,Goethe A1,goethe-a1;source-patsytau,de,en
die Polizei,police,Goethe A1,goethe-a1;source-patsytau;formal,de,en
die Pommes frites (pl.),chips,Goethe A1,goethe-a1;source-patsytau,de,en
die Post,post office,Goethe A1,goethe-a1;source-patsytau,de,en
die Post,post / mail,Goethe A1,goethe-a1;source-patsytau,de,en
die Postleitzahl,postcode,Goethe A1,goethe-a1;source-patsytau,de,en
das Praktikum,internship,Goethe A1,goethe-a1;source-patsytau,de,en
die Praxis,practice,Goethe A1,goethe-a1;source-patsytau,de,en
"der Preis, -e",price,Goethe A1,goethe-a1;source-patsytau,de,en
"das Problem, -e",problem,Goethe A1,goethe-a1;source-patsytau,de,en
"der Prospekt, -e",brochure,Goethe A1,goethe-a1;source-patsytau;formal,de,en
die Prüfung,examination,Goethe A1,goethe-a1;source-patsytau,de,en
pünktlich,sharp,Goethe A1,goethe-a1;source-patsytau,de,en
pünktlich,punctual,Goethe A1,goethe-a1;source-patsytau,de,en
Rad fahren,to cycle,Goethe A1,goethe-a1;source-patsytau,de,en
rauchen,to smoke,Goethe A1,goethe-a1;source-patsytau,de,en
"der Raum, -ä, e",room,Goethe A1,goethe-a1;source-patsytau,de,en
"die Rechnung, -en",bill,Goethe A1,goethe-a1;source-patsytau,de,en
rechts,right,Goethe A1,goethe-a1;source-patsytau,de,en
regnen,to rain,Goethe A1,goethe-a1;source-patsytau,de,en
der Regen,rain,Goethe A1,goethe-a1;source-patsytau,de,en
der Reis,rice,Goethe A1,goethe-a1;source-patsytau,de,en
reisen,to travel,Goethe A1,goethe-a1;source-patsytau,de,en
die Reise,journey / trip,Goethe A1,goethe-a1;source-patsytau,de,en
"das Reisebüro, -s",travel agency,Goethe A1,goethe-a1;source-patsytau,de,en
der Reiseführer,travel guide,Goethe A1,goethe-a1;source-patsytau,de,en
der Reiseführer,tour guide,Goethe A1,goethe-a1;source-patsytau,de,en
reparieren,to repair,Goethe A1,goethe-a1;source-patsytau,de,en
die Reparatur,repair,Goethe A1,goethe-a1;source-patsytau,de,en
"das Restaurant, -s",restaurant,Goethe A1,goethe-a1;source-patsytau,de,en
die Rezeption,reception,Goethe A1,goethe-a1;source-patsytau;formal,de,en
richtig,correct,Goethe A1,goethe-a1;source-patsytau,de,en
richtig,right / correct,Goethe A1,goethe-a1;source-patsytau,de,en
riechen,to smell,Goethe A1,goethe-a1;source-patsytau,de,en
ruhig,quiet,Goethe A1,goethe-a1;source-patsytau,de,en
der Saft,juice,Goethe A1,goethe-a1;source-patsytau;informal,de,en
sagen,to say / tell,Goethe A1,goethe-a1;source-patsytau;informal,de,en
der Salat,salad,Goethe A1,goethe-a1;source-patsytau;informal,de,en
das Salz,salt,Goethe A1,goethe-a1;source-patsytau,de,en
"der Satz, -ä, e",sentence,Goethe A1,goethe-a1;source-patsytau,de,en
die S-Bahn,commuter train,Goethe A1,goethe-a1;source-patsytau,de,en
der Schalter,counter,Goethe A1,goethe-a1;source-patsytau;formal,de,en
scheinen,to shine,Goethe A1,goethe-a1;source-patsytau,de,en
schicken,to send,Goethe A1,goethe-a1;source-patsytau;formal,de,en
"das Schild, -er",sign,Goethe A1,goethe-a1;source-patsytau;formal,de,en
"der Schinken, –",ham,Goethe A1,goethe-a1;source-patsytau,de,en
schlafen,to sleep,Goethe A1,goethe-a1;source-patsytau,de,en
schlecht,sick,Goethe A1,goethe-a1;source-patsytau;NB: ill,de,en
schlecht,bad,Goethe A1,goethe-a1;source-patsytau;formal,de,en
schließen,to close,Goethe A1,goethe-a1;source-patsytau;formal,de,en
geschlossen,closed,Goethe A1,goethe-a1;source-patsytau,de,en
der Schluss,…,Goethe A1,goethe-a1;source-patsytau,de,en
der Schluss,end,Goethe A1,goethe-a1;source-patsytau,de,en
"der Schlüssel, –",key,Goethe A1,goethe-a1;source-patsytau;formal,de,en
schmecken,to taste,Goethe A1,goethe-a1;source-patsytau,de,en
schnell,quick / fast,Goethe A1,goethe-a1;source-patsytau,de,en
schon,already,Goethe A1,goethe-a1;source-patsytau,de,en
schön,lovely,Goethe A1,goethe-a1;source-patsytau,de,en
schön,beautiful,Goethe A1,goethe-a1;source-patsytau,de,en
"der Schrank, -ä, e",cupboard,Goethe A1,goethe-a1;source-patsytau,de,en
schreiben,to write,Goethe A1,goethe-a1;source-patsytau,de,en
"der Schuh, -e",shoe,Goethe A1,goethe-a1;source-patsytau,de,en
die Schule,school,Goethe A1,goethe-a1;source-patsytau,de,en
"der Schüler, –",pupil,Goethe A1,goethe-a1;source-patsytau,de,en
schwer,heavy,Goethe A1,goethe-a1;source-patsytau,de,en
schwer,difficult,Goethe A1,goethe-a1;source-patsytau,de,en
"die Schwester, -n",sister,Goethe A1,goethe-a1;source-patsytau,de,en
schwimmen,to swim,Goethe A1,goethe-a1;source-patsytau,de,en
das Schwimmbad,swimming pool,Goethe A1,goethe-a1;source-patsytau;informal,de,en
der See,lake,Goethe A1,goethe-a1;source-patsytau,de,en
sehen,to see,Goethe A1,goethe-a1;source-patsytau;informal,de,en
"die Sehenswürdigkeit, -en",sights/attractions,Goethe A1,goethe-a1;source-patsytau,de,en
sehr,very,Goethe A1,goethe-a1;source-patsytau,de,en
sein,his,Goethe A1,goethe-a1;source-patsytau,de,en
sein,to be,Goethe A1,goethe-a1;source-patsytau,de,en
an sein,to be on,Goethe A1,goethe-a1;source-patsytau,de,en
weg sein,to be gone,Goethe A1,goethe-a1;source-patsytau,de,en
zu sein,to be closed,Goethe A1,goethe-a1;source-patsytau,de,en
seit,for (an amount of time),Goethe A1,goethe-a1;source-patsytau,de,en
selbstständig,independent,Goethe A1,goethe-a1;source-patsytau,de,en
sich,yourself,Goethe A1,goethe-a1;source-patsytau;formal,de,en
sie,she,Goethe A1,goethe-a1;source-patsytau,de,en
Sie,you (polite),Goethe A1,goethe-a1;source-patsytau;formal,de,en
sitzen,to sit,Goethe A1,goethe-a1;source-patsytau;formal,de,en
so,like this,Goethe A1,goethe-a1;source-patsytau;formal,de,en
so,so,Goethe A1,goethe-a1;source-patsytau;formal,de,en
so,as,Goethe A1,goethe-a1;source-patsytau,de,en
das Sofa,sofa,Goethe A1,goethe-a1;source-patsytau,de,en
sofort,immediately,Goethe A1,goethe-a1;source-patsytau;formal,de,en
"der Sohn, -ö, e",son,Goethe A1,goethe-a1;source-patsytau,de,en
sollen,should,Goethe A1,goethe-a1;source-patsytau,de,en
die Sonne,sun,Goethe A1,goethe-a1;source-patsytau,de,en
spät,late,Goethe A1,goethe-a1;source-patsytau,de,en
später,later,Goethe A1,goethe-a1;source-patsytau,de,en
die Speisekarte,menu,Goethe A1,goethe-a1;source-patsytau;formal,de,en
spielen,to play,Goethe A1,goethe-a1;source-patsytau,de,en
der Sport,sport,Goethe A1,goethe-a1;source-patsytau,de,en
"die Sprache, -n",language,Goethe A1,goethe-a1;source-patsytau;informal,de,en
sprechen,to speak,Goethe A1,goethe-a1;source-patsytau,de,en
"die Stadt, -ä, e",town / city,Goethe A1,goethe-a1;source-patsytau,de,en
stehen,to be (written),Goethe A1,goethe-a1;source-patsytau,de,en
stehen,to be (located),Goethe A1,goethe-a1;source-patsytau,de,en
"die Stelle, -n",job / position,Goethe A1,goethe-a1;source-patsytau,de,en
stellen,to put,Goethe A1,goethe-a1;source-patsytau,de,en
der Stock,floor (of a building),Goethe A1,goethe-a1;source-patsytau,de,en
"die Straße, -n",street,Goethe A1,goethe-a1;source-patsytau;formal,de,en
die Straßenbahn,tram,Goethe A1,goethe-a1;source-patsytau,de,en
studieren,to study,Goethe A1,goethe-a1;source-patsytau,de,en
das Studium,degree course,Goethe A1,goethe-a1;source-patsytau,de,en
"der Student, -en",student,Goethe A1,goethe-a1;source-patsytau;NB: female,de,en
"die Stunde, -n",hour,Goethe A1,goethe-a1;source-patsytau,de,en
suchen,to look / search for,Goethe A1,goethe-a1;source-patsytau;informal,de,en
tanzen,to dance,Goethe A1,goethe-a1;source-patsytau;formal,de,en
"die Tasche, -n",bag,Goethe A1,goethe-a1;source-patsytau,de,en
"das Taxi, -s",taxi,Goethe A1,goethe-a1;source-patsytau,de,en
der Tee,tea,Goethe A1,goethe-a1;source-patsytau,de,en
"der Teil, -e",part,Goethe A1,goethe-a1;source-patsytau,de,en
telefonieren,to telephone,Goethe A1,goethe-a1;source-patsytau,de,en
das Telefon,telephone,Goethe A1,goethe-a1;source-patsytau;formal,de,en
"der Termin, -e",appointment,Goethe A1,goethe-a1;source-patsytau,de,en
der Test,test,Goethe A1,goethe-a1;source-patsytau,de,en
teuer,expensive,Goethe A1,goethe-a1;source-patsytau,de,en
"der Text, -e",text,Goethe A1,goethe-a1;source-patsytau;formal,de,en
das Thema,topic,Goethe A1,goethe-a1;source-patsytau,de,en
"das Ticket, -s",ticket,Goethe A1,goethe-a1;source-patsytau,de,en
"der Tisch, -e",table,Goethe A1,goethe-a1;source-patsytau,de,en
"die Tochter, -ö",daughter,Goethe A1,goethe-a1;source-patsytau,de,en
"die Toilette, -en",toilet,Goethe A1,goethe-a1;source-patsytau,de,en
"die Tomate, -n",tomato,Goethe A1,goethe-a1;source-patsytau,de,en
tot,dead,Goethe A1,goethe-a1;source-patsytau,de,en
(sich) treffen,to meet,Goethe A1,goethe-a1;source-patsytau;NB: male,de,en
"die Treppe, -n",stairs,Goethe A1,goethe-a1;source-patsytau,de,en
trinken,to drink,Goethe A1,goethe-a1;source-patsytau;informal,de,en
tschüss,...,Goethe A1,goethe-a1;source-patsytau,de,en
tun,to do,Goethe A1,goethe-a1;source-patsytau,de,en
über,across,Goethe A1,goethe-a1;source-patsytau;formal,de,en
über,above,Goethe A1,goethe-a1;source-patsytau,de,en
über,over,Goethe A1,goethe-a1;source-patsytau;formal,de,en
übernachten,to stay overnight,Goethe A1,goethe-a1;source-patsytau;informal,de,en
überweisen,to transfer,Goethe A1,goethe-a1;source-patsytau;formal,de,en
die Uhr,o'clock / am / pm,Goethe A1,goethe-a1;source-patsytau,de,en
um,at,Goethe A1,goethe-a1;source-patsytau,de,en
um,around,Goethe A1,goethe-a1;source-patsytau,de,en
umziehen,to move (residence),Goethe A1,goethe-a1;source-patsytau,de,en
und,and,Goethe A1,goethe-a1;source-patsytau,de,en
unser-,our,Goethe A1,goethe-a1;source-patsytau;NB: female,de,en
unten,at the bottom,Goethe A1,goethe-a1;source-patsytau,de,en
unter,below,Goethe A1,goethe-a1;source-patsytau,de,en
der Unterricht,class,Goethe A1,goethe-a1;source-patsytau,de,en
unterschreiben,to sign,Goethe A1,goethe-a1;source-patsytau,de,en
die Unterschrift,signature,Goethe A1,goethe-a1;source-patsytau,de,en
der Urlaub,holiday,Goethe A1,goethe-a1;source-patsytau,de,en
"der Vater, -ä",father,Goethe A1,goethe-a1;source-patsytau,de,en
verboten,forbidden,Goethe A1,goethe-a1;source-patsytau,de,en
verdienen,to earn,Goethe A1,goethe-a1;source-patsytau,de,en
der Verein,club,Goethe A1,goethe-a1;source-patsytau,de,en
verheiratet,married,Goethe A1,goethe-a1;source-patsytau,de,en
verkaufen,to sell,Goethe A1,goethe-a1;source-patsytau,de,en
"der Verkäufer, –",salesperson,Goethe A1,goethe-a1;source-patsytau,de,en
vermieten,to rent out,Goethe A1,goethe-a1;source-patsytau,de,en
der Vermieter,landlord,Goethe A1,goethe-a1;source-patsytau,de,en
verstehen,to understand,Goethe A1,goethe-a1;source-patsytau;formal,de,en
"der Verwandte, -n",relative,Goethe A1,goethe-a1;source-patsytau,de,en
viel,a lot,Goethe A1,goethe-a1;source-patsytau,de,en
vielleicht,perhaps / may(be),Goethe A1,goethe-a1;source-patsytau,de,en
von,"of (possessive “s"")",Goethe A1,goethe-a1;source-patsytau,de,en
von,from,Goethe A1,goethe-a1;source-patsytau,de,en
vor,ago,Goethe A1,goethe-a1;source-patsytau,de,en
vor,in front of,Goethe A1,goethe-a1;source-patsytau,de,en
"der Vorname, -n",first name,Goethe A1,goethe-a1;source-patsytau,de,en
die Vorsicht,…,Goethe A1,goethe-a1;source-patsytau,de,en
die Vorsicht,attention,Goethe A1,goethe-a1;source-patsytau,de,en
(sich) vorstellen,to introduce,Goethe A1,goethe-a1;source-patsytau;formal,de,en
die Vorwahl,area code,Goethe A1,goethe-a1;source-patsytau,de,en
wandern,to hike,Goethe A1,goethe-a1;source-patsytau,de,en
wann,when,Goethe A1,goethe-a1;source-patsytau;informal,de,en
warten,to wait,Goethe A1,goethe-a1;source-patsytau;formal,de,en
warum,why,Goethe A1,goethe-a1;source-patsytau,de,en
was,what,Goethe A1,goethe-a1;source-patsytau,de,en
was für ein,what kind of,Goethe A1,goethe-a1;source-patsytau;formal,de,en
(sich) waschen,to wash,Goethe A1,goethe-a1;source-patsytau,de,en
das Wasser,water,Goethe A1,goethe-a1;source-patsytau,de,en
weh tun,to hurt,Goethe A1,goethe-a1;source-patsytau,de,en
weiblich,female,Goethe A1,goethe-a1;source-patsytau;formal,de,en
der Wein,wine,Goethe A1,goethe-a1;source-patsytau,de,en
weit,far,Goethe A1,goethe-a1;source-patsytau,de,en
weiter,further,Goethe A1,goethe-a1;source-patsytau,de,en
welch-,which,Goethe A1,goethe-a1;source-patsytau;informal,de,en
die Welt,world,Goethe A1,goethe-a1;source-patsytau,de,en
wenig,little / not very much,Goethe A1,goethe-a1;source-patsytau,de,en
wenig,little,Goethe A1,goethe-a1;source-patsytau,de,en
wer,who,Goethe A1,goethe-a1;source-patsytau,de,en
werden,to become,Goethe A1,goethe-a1;source-patsytau,de,en
das Wetter,weather,Goethe A1,goethe-a1;source-patsytau,de,en
wichtig,important,Goethe A1,goethe-a1;source-patsytau,de,en
wie,what,Goethe A1,goethe-a1;source-patsytau;informal,de,en
wie,like,Goethe A1,goethe-a1;source-patsytau,de,en
wie,as,Goethe A1,goethe-a1;source-patsytau,de,en
wie,how,Goethe A1,goethe-a1;source-patsytau,de,en
wie,…,Goethe A1,goethe-a1;source-patsytau,de,en
wiederholen,to repeat,Goethe A1,goethe-a1;source-patsytau;formal,de,en
das Wiederhören,…,Goethe A1,goethe-a1;source-patsytau;NB: used on the telephone,de,en
das Wiedersehen,…,Goethe A1,goethe-a1;source-patsytau;lit: “until we see each other again”,de,en
wie viel,how much,Goethe A1,goethe-a1;source-patsytau;formal,de,en
willkommen,…,Goethe A1,goethe-a1;source-patsytau,de,en
der Wind,wind,Goethe A1,goethe-a1;source-patsytau,de,en
wir,we,Goethe A1,goethe-a1;source-patsytau,de,en
wissen,to know,Goethe A1,goethe-a1;source-patsytau;informal,de,en
wo,where,Goethe A1,goethe-a1;source-patsytau;formal,de,en
woher,from where,Goethe A1,goethe-a1;source-patsytau;formal,de,en
wohin,to where,Goethe A1,goethe-a1;source-patsytau,de,en
wohnen,to live,Goethe A1,goethe-a1;source-patsytau,de,en
"die Wohnung, -en",flat,Goethe A1,goethe-a1;source-patsytau;NB: for how long...? formal,de,en
wollen,to want,Goethe A1,goethe-a1;source-patsytau;formal,de,en
"das Wort, -ö, er/-e",word,Goethe A1,goethe-a1;source-patsytau,de,en
wunderbar,wonderful,Goethe A1,goethe-a1;source-patsytau,de,en
zahlen,to pay,Goethe A1,goethe-a1;source-patsytau,de,en
die Zeit,time,Goethe A1,goethe-a1;source-patsytau,de,en
zurzeit,at the moment,Goethe A1,goethe-a1;source-patsytau,de,en
"die Zeitung, -en",newspaper,Goethe A1,goethe-a1;source-patsytau,de,en
"die Zigarette, -n",cigarette,Goethe A1,goethe-a1;source-patsytau,de,en
"das Zimmer, –",room,Goethe A1,goethe-a1;source-patsytau,de,en
der Zoll,customs,Goethe A1,goethe-a1;source-patsytau,de,en
zu,to,Goethe A1,goethe-a1;source-patsytau,de,en
zu,by,Goethe A1,goethe-a1;source-patsytau,de,en
zu,at,Goethe A1,goethe-a1;source-patsytau,de,en
zufrieden,happy,Goethe A1,goethe-a1;source-patsytau,de,en
"der Zug, -ü, e",train,Goethe A1,goethe-a1;source-patsytau,de,en
zurück,return,Goethe A1,goethe-a1;source-patsytau,de,en
zurück,back,Goethe A1,goethe-a1;source-patsytau;informal,de,en
zusammen,together,Goethe A1,goethe-a1;source-patsytau,de,en
zwischen,between,Goethe A1,goethe-a1;source-patsytau,de,en
